exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_wmd	P_wmd	OR_egger	P_egger	egger_intercept_P	Q_pval	P_fdr	P_bonf
ureA	ida	10	1.01246225253769	0.963766516143471	1.06361841342607	0.62237990549427	1.00605115881004	0.845230837825679	0.996512101842003	0.963662371086821	0.826112836290165	0.986343057818881	0.976510481846338	1
catalase	stroke_isch	7	1.01228750346996	0.963765497714122	1.06325241162078	0.626036830133039	1.01296829486701	0.712775969427462	1.01843107873051	0.727690779815949	0.889314425592221	0.373473874803093	0.976510481846338	1
cagA	parkinson	9	0.982720799713736	0.912585590298209	1.05824613105542	0.644514295788502	0.977447108973237	0.635105043038618	1.09957337613342	0.308419689899876	0.191605357455208	0.782334429071653	0.976510481846338	1
groEL	asthma	3	1.0421626615797	0.873999484090858	1.24268152666091	0.645531200765698	1.05636270099192	0.618601814257893	6.52115570836689	0.382777920551129	0.388764513584313	0.326950708122673	0.976510481846338	1
hpylori_general	sle	7	0.851872230179583	0.41039336799167	1.76827003833519	0.667009464502647	1.16396485368237	0.756460525162244	1.35765209076261	0.780542141333391	0.649978795502058	0.475045354773256	0.976510481846338	1
hpylori_general	pancan	10	0.855887277569049	0.419546478009736	1.74603546996659	0.668794314176554	1.1784575159503	0.725039389142317	1.18044812398809	0.892624879054146	0.783909874319383	0.935724776839186	0.976510481846338	1
vacA	afib	14	0.995312559404379	0.974116174209867	1.0169701696121	0.668794852297902	0.992903356359664	0.614057625498609	1.01248899001696	0.635678504176227	0.472232325416686	0.96503107951166	0.976510481846338	1
vacA	ra	11	1.01369894109775	0.950216669077352	1.08142234989466	0.680077157049956	1.03412989526302	0.374696466420397	0.987658465609655	0.856552612572511	0.660012603462034	0.163078879321419	0.976510481846338	1
omp	t2d	3	0.971326694036745	0.84506690463357	1.1164507110327	0.682175591168832	0.934328166484704	0.165336048978493	0.982415610662595	0.964433912754767	0.975995933100348	0.0120726857292516	0.976510481846338	1
groEL	sle	4	1.07120022604343	0.768753249858142	1.49263749387367	0.684495255853419	0.972741475762565	0.845478583528367	0.705703634659546	0.533510976056408	0.438352699464726	0.0737732913285568	0.976510481846338	1
vacA	sle	8	1.0250129566318	0.905161785003672	1.16073344972115	0.696970528917565	1.05710360602054	0.529033669982712	1.02757401372432	0.883292276393827	0.988413395433849	0.482192450510623	0.976510481846338	1
omp	sle	6	0.955002091314433	0.755849323758127	1.20662804840557	0.699599793705465	1.09663530140885	0.511939139976568	0.780850553535854	0.48196996171627	0.530424710043841	0.148550285524792	0.976510481846338	1
omp	parkinson	6	1.02279208184457	0.908250495859855	1.15177877408543	0.709967582021376	1.02773968566979	0.722308148540702	0.908866565639017	0.524393522527871	0.391575221721593	0.796261573524648	0.976510481846338	1
omp	itp	7	1.07227438926485	0.734751883580365	1.56484439382529	0.717480320984936	0.991480224165131	0.970276148201494	1.13874262254087	0.798110054977967	0.894947461636247	0.177378106159809	0.976510481846338	1
groEL	atopic	4	1.02242355495406	0.906423410554637	1.15326889569771	0.718152971995648	0.992420804889874	0.875888630640233	0.909850368059674	0.621411427514844	0.516774779797879	0.0409029293052849	0.976510481846338	1
