exposure	outcome	eas_id	n_snp	OR_eas	L95_eas	U95_eas	P_eas	OR_wmd_eas	P_wmd_eas	OR_eur	L95_eur	U95_eur	P_eur	dir_concordant
hpylori_general	sle	ebi-a-GCST90018697	4	0.49484074466737	0.00790259111172213	30.9857057161592	0.738904076356017	0.405226584693187	0.610426126010608	0.851872230179583	0.41039336799167	1.76827003833519	0.667009464502647	TRUE
vacA	atopic	bbj-a-90	7	1.027296863072	0.875953727471146	1.20478834872284	0.740491841103989	1.03646818731619	0.662491033198204	1.01114131914708	0.979837323036889	1.0434454202231	0.489857933857974	TRUE
cagA	uc	ebi-a-GCST90018713	5	1.11715569489223	0.525434251633695	2.37524836409067	0.773450940549335	1.22150415155781	0.51201465766216	1.05166268857476	0.974074517597546	1.13543100713497	0.197665281100242	TRUE
ureA	afib	ebi-a-GCST004296	9	0.99032678600669	0.923826863297829	1.0616135793901	0.784018587848804	0.998701246870532	0.978070839402432	1.00231426436005	0.972744624373437	1.03278276678911	0.879739172834539	FALSE
catalase	parkinson	ebi-a-GCST90018674	3	0.923472538182196	0.491713078689827	1.7343478661356	0.804450010882703	0.969107908481327	0.932896855546071	1.07730381486818	0.988634135198976	1.1739261959592	0.0892901102466766	FALSE
groEL	itp	ebi-a-GCST90018645	4	0.836505030348837	0.198410355901521	3.52673459315914	0.807869157827509	0.591128405961587	0.480644229479978	0.993264283720583	0.649398137973312	1.51921275966995	0.975132179812728	TRUE
omp	crc	bbj-a-107	6	1.00949441071759	0.931423346967963	1.09410932052264	0.818011369824033	0.994246918718308	0.914112761225731	1.0323023577115	0.971358895426042	1.09706943824231	0.305833283788616	TRUE
hpylori_general	ida	ebi-a-GCST90018652	4	0.928803641430493	0.471522819131427	1.82955345814152	0.830909936707155	1.02803762375931	0.946159659483736	0.934757770979066	0.745646131943167	1.17183212381011	0.558530589364511	TRUE
groEL	parkinson	ebi-a-GCST90018674	4	1.10592712984243	0.42061726541276	2.90780934853276	0.838247921747856	0.868752403153775	0.769290132592817	1.02826442858491	0.871864636760548	1.21272006056077	0.740566702667467	TRUE
vacA	ra	bbj-a-151	7	1.00852417804559	0.923987848251931	1.10079479900824	0.849280983408418	1.01707153096214	0.752141441376169	0.982714531897488	0.906074355982546	1.06583730664716	0.673829865096383	FALSE
omp	itp	ebi-a-GCST90018645	7	0.955269716276693	0.589083483410811	1.54908473337551	0.852809049139674	0.973174419263028	0.934694074555981	1.21553073014306	0.919118859000026	1.60753415236155	0.17112162303014	FALSE
vacA	itp	ebi-a-GCST90018645	7	1.0477903056863	0.637321033348104	1.72262402657992	0.853979992108632	0.988301003770357	0.963015882933221	0.939308683509531	0.807284473220788	1.09292428156871	0.417831394005682	FALSE
vacA	pancan	bbj-a-140	7	0.982979608585333	0.754464943767207	1.28070749857493	0.898804212055076	0.985704142485421	0.928437071661889	0.961343592094806	0.8618280802527	1.07235018588715	0.479500079200201	TRUE
vacA	stroke_isch	bbj-a-129	7	0.996709654703496	0.945969846971549	1.05017103764941	0.90160537321584	0.980668618394563	0.511824874919766	1.03525753478371	1.00230477324741	1.06929368385027	0.0357739426781278	FALSE
groEL	t2d	ebi-a-GCST010118	3	0.993921238463993	0.901843328306588	1.0954002732656	0.902163934703342	1.0098778479689	0.820935983561369					FALSE
omp	atopic	bbj-a-90	6	0.98097037365636	0.699718260030242	1.37527191865753	0.9112535943285	0.931813272255752	0.559808938249802	1.00687889511402	0.903329358286266	1.12229841765506	0.901464318034885	FALSE
catalase	ra	bbj-a-151	3	1.01013492244477	0.842936827224888	1.21049707236279	0.913021813873823	1.02032198107258	0.852956056629841	0.96546097632144	0.905111479940261	1.02983435461571	0.285825250590257	FALSE
hpylori_general	asthma	bbj-a-88	4	1.02696691703294	0.586895785848152	1.79701588273633	0.925733325031444	1.13389368519323	0.710280392273205					FALSE
omp	ida	ebi-a-GCST90018652	7	0.996058118058055	0.906007202825563	1.09505947795469	0.934888642657533	0.986613657869672	0.825192297149333	1.05865149350428	0.985489204089081	1.13724531942974	0.118774131828227	FALSE
hpylori_general	ra	bbj-a-151	4	0.979835865402998	0.456095404381289	2.10499451191013	0.958359801776392	1.1045397925255	0.828118657745676	0.848046959314797	0.601601456864175	1.19544864294676	0.346761494332051	TRUE
cagA	asthma	bbj-a-88	9	0.997757268756884	0.913071422205192	1.09029758586999	0.960428819118421	0.982313044195577	0.654713562267208					FALSE
vacA	ida	ebi-a-GCST90018652	7	0.998437575673206	0.89625799687512	1.1122663295523	0.977353553065873	1.00520201368938	0.916890558754724	0.968786788062717	0.935671357235493	1.00307424553198	0.0739342091228088	TRUE
