exposure	outcome	n_snp	OR_noHLA	L95_noHLA	U95_noHLA	P_ivw_noHLA	P_fdr_noHLA	OR_primary	L95_primary	U95_primary	P_ivw_primary	P_fdr_primary	delta_OR	P_changed_dir
catalase	crohn	8	1.01480599304597	0.900113057394499	1.14411317007556	0.810180009498767	0.976510481846338	0.995245438584224	0.889696857278708	1.11331570401672	0.933595130566407	0.994532972966802	0.0195605544617496	FALSE
ureA	ms	6	1.00446906772581	0.903956297320024	1.11615806096957	0.933935345272947	0.99149741876501	1.00446906772581	0.903956297320024	1.11615806096957	0.933935345272947	0.994532972966802	-3.5527136788005e-15	FALSE
catalase	alzheimer	8	1.0036606463967	0.971459219365626	1.0369294696521	0.82616784883397	0.976510481846338	1.00126919382481	0.970709464468408	1.03279099998434	0.936074938607995	0.994532972966802	0.00239145257188977	FALSE
hpylori_general	itp	10	1.05563677726286	0.280695001926977	3.97003508384458	0.936145930976973	0.99149741876501	1.05563677726286	0.280695001926977	3.97003508384458	0.936145930976973	0.994532972966802	1.33226762955019e-15	FALSE
cagA	crohn	10	1.04639611262617	0.919685192313745	1.19056480812147	0.491034676800558	0.976510481846338	0.994971372899602	0.86466294818122	1.14491783760605	0.943883054068648	0.994532972966802	0.0514247397265711	FALSE
groEL	ms	3	0.99367026256039	0.765576872105553	1.28972102825058	0.961934824715055	0.994692994362292	0.99367026256039	0.765576872105553	1.28972102825058	0.961934824715055	0.994532972966802	-3.33066907387547e-16	FALSE
groEL	itp	4	0.993264283720583	0.649398137973312	1.51921275966995	0.975132179812728	0.994692994362292	0.993264283720583	0.649398137973312	1.51921275966995	0.975132179812728	0.994532972966802	-3.33066907387547e-16	FALSE
hpylori_general	crohn	11	0.993088191894917	0.505287786809056	1.95180683687057	0.983948508970564	0.994692994362292	0.993088191894917	0.505287786809056	1.95180683687057	0.983948508970564	0.994532972966802	0	FALSE
groEL	pancan	4	1.00281366429105	0.737027557780742	1.36444727835809	0.985731796214884	0.994692994362292	1.00281366429105	0.737027557780742	1.36444727835809	0.985731796214884	0.994532972966802	1.33226762955019e-15	FALSE
hpylori_general	parkinson	9	1.0001717813912	0.633242698275412	1.57971595253384	0.999412308960147	0.999412308960147	1.0001717813912	0.633242698275412	1.57971595253384	0.999412308960147	0.999412308960147	-2.66453525910038e-15	FALSE
